TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.6667,0,184.3267,yes,unknown,unknown,unknown,Unknown,-5.9785,-5.7263,7.0000,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0262,0.0793,0.0000,0.0172,0.0176,0.0019,0.0044,0.0065,0.0060,0.0374,0.0252,0.0097,0.0021,0.0098,0.0368,0.0126,96.2843,0.0388,0.0098,0.0187,0.0009,0.0006,0.3835,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.7667,0,187.1684,yes,unknown,unknown,unknown,Unknown,-4.8987,-4.6679,6.4497,0.0018,0.0045,0.4264,0.0241,0.0045,0.1930,0.1939,-0.0323,0.0793,0.0000,0.0241,0.0164,0.0025,0.0048,0.0063,0.0059,0.0468,0.0257,0.0107,0.0030,0.0098,0.0571,0.0219,96.9717,0.0348,0.0086,0.0229,0.0009,0.0006,0.4061,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
0.8000,0,187.2981,yes,unknown,unknown,unknown,Unknown,-5.4941,-5.9082,6.1478,0.0018,0.0045,0.4263,0.0241,0.0045,0.1930,0.1941,-0.0371,0.0794,0.0000,0.0282,0.0164,0.0031,0.0046,0.0060,0.0060,0.0554,0.0297,0.0124,0.0034,0.0098,0.0710,0.0230,96.1519,0.0264,0.0078,0.0246,0.0009,0.0007,0.4150,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
0.8667,0,184.8203,yes,unknown,unknown,unknown,Unknown,-4.9080,-5.7338,6.4793,0.0018,0.0045,0.4263,0.0241,0.0045,0.1931,0.1941,-0.0398,0.0794,0.0000,0.0310,0.0181,0.0026,0.0049,0.0058,0.0059,0.0584,0.0325,0.0130,0.0040,0.0096,0.0680,0.0185,96.2789,0.0187,0.0060,0.0244,0.0008,0.0007,0.3968,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
0.9333,0,184.5097,yes,unknown,unknown,unknown,Unknown,-5.0715,-5.5306,6.4739,0.0018,0.0045,0.4263,0.0241,0.0045,0.1931,0.1938,-0.0486,0.0796,0.0000,0.0296,0.0204,0.0024,0.0043,0.0061,0.0064,0.0836,0.0363,0.0157,0.0056,0.0098,0.0528,0.0082,96.4218,0.0157,0.0054,0.0218,0.0010,0.0008,0.3847,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.0000,0,184.8734,yes,unknown,unknown,unknown,Unknown,-5.3582,-5.6757,6.7111,0.0018,0.0045,0.4263,0.0241,0.0045,0.1931,0.1936,-0.0452,0.0795,0.0000,0.0311,0.0213,0.0023,0.0039,0.0061,0.0064,0.0730,0.0350,0.0146,0.0050,0.0098,0.0464,0.0034,96.3204,0.0168,0.0050,0.0215,0.0009,0.0008,0.3782,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.0667,0,184.9255,yes,unknown,unknown,unknown,Unknown,-5.5285,-5.7623,7.2410,0.0018,0.0045,0.4262,0.0241,0.0045,0.1931,0.1935,-0.0454,0.0796,0.0000,0.0279,0.0258,0.0016,0.0038,0.0062,0.0063,0.0819,0.0405,0.0098,0.0047,0.0093,0.0412,0.0020,96.2585,0.0159,0.0044,0.0195,0.0009,0.0008,0.4147,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.1333,0,185.5570,yes,unknown,unknown,unknown,Unknown,-5.1238,-5.5396,7.1007,0.0018,0.0045,0.4263,0.0240,0.0045,0.1931,0.1934,-0.0407,0.0796,0.0000,0.0230,0.0282,0.0013,0.0038,0.0067,0.0064,0.0726,0.0465,0.0085,0.0035,0.0100,0.0357,0.0018,96.4156,0.0142,0.0043,0.0188,0.0008,0.0008,0.4001,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.2000,0,183.1312,yes,unknown,unknown,unknown,Unknown,-4.4701,-5.2660,7.3299,0.0018,0.0045,0.4263,0.0240,0.0045,0.1932,0.1935,-0.0372,0.0795,0.0000,0.0254,0.0317,0.0012,0.0039,0.0063,0.0061,0.0618,0.0439,0.0072,0.0036,0.0100,0.0400,0.0018,96.6000,0.0097,0.0047,0.0183,0.0010,0.0008,0.4236,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.3000,0,183.0083,yes,unknown,unknown,unknown,Unknown,-6.3338,-5.6833,6.7059,0.0018,0.0045,0.4263,0.0240,0.0045,0.1932,0.1934,-0.0323,0.0794,0.0000,0.0218,0.0286,0.0010,0.0043,0.0054,0.0057,0.0483,0.0378,0.0114,0.0033,0.0110,0.0348,0.0013,96.3149,0.0093,0.0056,0.0166,0.0011,0.0008,0.4445,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.3333,0,183.6345,yes,unknown,unknown,unknown,Unknown,-5.7928,-5.6334,6.9905,0.0018,0.0045,0.4263,0.0240,0.0045,0.1932,0.1933,-0.0273,0.0794,0.0000,0.0181,0.0295,0.0009,0.0041,0.0057,0.0053,0.0375,0.0386,0.0112,0.0027,0.0114,0.0296,0.0016,96.3502,0.0090,0.0061,0.0149,0.0011,0.0007,0.4372,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.4000,0,184.2642,yes,unknown,unknown,unknown,Unknown,-5.3861,-5.0664,6.5478,0.0018,0.0045,0.4264,0.0240,0.0045,0.1931,0.1934,-0.0235,0.0793,0.0000,0.0161,0.0268,0.0009,0.0044,0.0054,0.0050,0.0311,0.0374,0.0114,0.0025,0.0118,0.0331,0.0028,96.7287,0.0114,0.0087,0.0144,0.0011,0.0007,0.4191,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.4667,0,183.7992,yes,unknown,unknown,unknown,Unknown,-5.0327,-4.9278,7.1124,0.0018,0.0045,0.4264,0.0240,0.0045,0.1931,0.1934,-0.0206,0.0794,0.0000,0.0162,0.0280,0.0008,0.0040,0.0059,0.0049,0.0242,0.0411,0.0101,0.0019,0.0121,0.0359,0.0022,96.8153,0.0117,0.0094,0.0139,0.0010,0.0007,0.4242,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.5333,0,183.9630,yes,unknown,unknown,unknown,Unknown,-5.3328,-4.4527,6.6307,0.0018,0.0045,0.4264,0.0240,0.0045,0.1931,0.1934,-0.0167,0.0794,0.0000,0.0138,0.0280,0.0008,0.0037,0.0066,0.0048,0.0191,0.0422,0.0077,0.0017,0.0125,0.0344,0.0022,97.0956,0.0114,0.0117,0.0132,0.0009,0.0007,0.4423,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.5667,0,182.5607,yes,unknown,unknown,unknown,Unknown,-5.1764,-4.6987,6.8364,0.0018,0.0045,0.4264,0.0240,0.0045,0.1931,0.1934,-0.0156,0.0794,0.0000,0.0136,0.0272,0.0008,0.0034,0.0065,0.0046,0.0175,0.0486,0.0077,0.0016,0.0126,0.0358,0.0030,96.9536,0.0132,0.0124,0.0131,0.0010,0.0007,0.4463,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
